Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1880428,MALARIA_EST_MORTALITY,COUNTRY,HND,AMR,Americas,YEAR,2021,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2021,2021-01-01,2021-12-31
5351747,MALARIA_EST_MORTALITY,COUNTRY,PNG,WPR,Western Pacific,YEAR,2015,,,,,,,,,21.27 [8.61-39.08],21.27356,8.61236,39.0816,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
1927099,MALARIA_EST_MORTALITY,COUNTRY,STP,AFR,Africa,YEAR,2017,,,,,,,,,0.48 [0.48-0.48],0.48316,0.48316,0.48316,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
7262746,MALARIA_EST_MORTALITY,COUNTRY,STP,AFR,Africa,YEAR,2015,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
3829496,MALARIA_EST_MORTALITY,COUNTRY,VUT,WPR,Western Pacific,YEAR,2010,,,,,,,,,11.33 [5.04-20.15],11.33278,5.03679,20.14716,,2024-12-10T17:44:48Z,2010,2010-01-01,2010-12-31
7464696,MALARIA_EST_MORTALITY,COUNTRY,KGZ,EUR,Europe,YEAR,2013,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2013,2013-01-01,2013-12-31
2297791,MALARIA_EST_MORTALITY,COUNTRY,PAN,AMR,Americas,YEAR,2010,,,,,,,,,0.04 [0.04-0.04],0.04113,0.04113,0.04113,,2024-12-10T17:44:48Z,2010,2010-01-01,2010-12-31
9236059,MALARIA_EST_MORTALITY,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2015,,,,,,,,,0.67 [0.28-1.21],0.66614,0.2833,1.20594,,2024-12-10T17:44:48Z,2015,2015-01-01,2015-12-31
856053,MALARIA_EST_MORTALITY,COUNTRY,BDI,AFR,Africa,YEAR,2020,,,,,,,,,57.77 [43.11-83.01],57.7711,43.10818,83.00682,,2024-12-10T17:44:48Z,2020,2020-01-01,2020-12-31
6131638,MALARIA_EST_MORTALITY,COUNTRY,PHL,WPR,Western Pacific,YEAR,2006,,,,,,,,,0.39 [0.17-0.69],0.39076,0.17132,0.6949,,2024-12-10T17:44:48Z,2006,2006-01-01,2006-12-31
8299582,MALARIA_EST_MORTALITY,COUNTRY,BDI,AFR,Africa,YEAR,2001,,,,,,,,,178.95 [164.87-194.44],178.94704,164.86883,194.44212,,2024-12-10T17:44:48Z,2001,2001-01-01,2001-12-31
5189472,MALARIA_EST_MORTALITY,COUNTRY,TLS,SEAR,South-East Asia,YEAR,2001,,,,,,,,,30.11 [7.85-83.78],30.10759,7.85415,83.77764,,2024-12-10T17:44:48Z,2001,2001-01-01,2001-12-31
3519583,MALARIA_EST_MORTALITY,COUNTRY,SLV,AMR,Americas,YEAR,2001,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2001,2001-01-01,2001-12-31
182448,MALARIA_EST_MORTALITY,COUNTRY,AZE,EUR,Europe,YEAR,2002,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2002,2002-01-01,2002-12-31
8851990,MALARIA_EST_MORTALITY,REGION,EMR,,,YEAR,2004,,,,,,,,,2.77 [1.72-5.23],2.7661,1.71648,5.23367,,2024-12-10T17:44:48Z,2004,2004-01-01,2004-12-31
303797,MALARIA_EST_MORTALITY,COUNTRY,MRT,AFR,Africa,YEAR,2002,,,,,,,,,23.52 [22.71-24.50],23.5152,22.71189,24.50109,,2024-12-10T17:44:48Z,2002,2002-01-01,2002-12-31
3775427,MALARIA_EST_MORTALITY,COUNTRY,MEX,AMR,Americas,YEAR,2018,,,,,,,,,0 [0-0],0,0,0,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
404792,MALARIA_EST_MORTALITY,COUNTRY,SEN,AFR,Africa,YEAR,2014,,,,,,,,,9.99 [4.08-18.12],9.99145,4.0842,18.11763,,2024-12-10T17:44:48Z,2014,2014-01-01,2014-12-31
2196516,MALARIA_EST_MORTALITY,COUNTRY,COD,AFR,Africa,YEAR,2017,,,,,,,,,78.77 [57.59-107.46],78.77162,57.59071,107.46265,,2024-12-10T17:44:48Z,2017,2017-01-01,2017-12-31
4105651,MALARIA_EST_MORTALITY,REGION,WPR,,,YEAR,2018,,,,,,,,,0.39 [0.19-0.67],0.39498,0.19314,0.67435,,2024-12-10T17:44:48Z,2018,2018-01-01,2018-12-31
5956793,MALARIA_EST_MORTALITY,COUNTRY,NIC,AMR,Americas,YEAR,2001,,,,,,,,,0.04 [0.04-0.04],0.04467,0.04467,0.04467,,2024-12-10T17:44:48Z,2001,2001-01-01,2001-12-31
